entry_time,exit_time,id,side,entry_px,exit_px,pnl_pct,pnl_abs,mfe_pct,exit_reason
2025-09-02 11:32:00+09:00,2025-09-02 11:43:00+09:00,8,-1,42220.9,42243.4,-0.0005329114253841107,-22.5,5.921238059823452e-05,STOP_LOSS
2025-09-02 11:58:00+09:00,2025-09-02 12:01:00+09:00,9,1,42278.4,42265.9,-0.00029565924916742355,-12.5,0.0,STOP_LOSS
2025-09-02 12:20:00+09:00,2025-09-02 13:11:00+09:00,10,1,42278.4,42325.9,0.0011235051468362095,47.5,0.003074856191341205,SL
2025-09-02 13:19:00+09:00,2025-09-02 14:35:00+09:00,11,-1,42325.9,42160.9,0.0038983223038376027,165.0,0.005788417966304319,SL
2025-09-02 14:42:00+09:00,2025-09-02 14:44:00+09:00,12,1,42218.4,42193.4,-0.0005921588691186781,-25.0,0.0,STOP_LOSS
2025-09-02 16:10:00+09:00,2025-09-02 16:12:00+09:00,13,1,42325.9,42310.9,-0.00035439293671250935,-15.0,0.0,STOP_LOSS
2025-09-02 16:19:00+09:00,2025-09-02 16:31:00+09:00,14,-1,42315.9,42358.4,-0.0010043506105270122,-42.5,0.0013588272965953695,STOP_LOSS
2025-09-02 16:49:00+09:00,2025-09-02 17:28:00+09:00,1,-1,42213.4,42120.9,0.0021912473290471744,92.5,0.00384948855102882,SL
2025-09-02 17:38:00+09:00,2025-09-02 17:41:00+09:00,2,-1,42110.9,42118.4,-0.00017810115670764576,-7.5,0.0002968352611794096,SL
2025-09-02 17:42:00+09:00,2025-09-02 17:43:00+09:00,3,-1,42118.4,42110.9,0.0001780694423339918,7.5,0.0001780694423339918,SL
2025-09-02 17:46:00+09:00,2025-09-02 17:52:00+09:00,4,1,42125.9,42105.9,-0.00047476730467479626,-20.0,0.0,STOP_LOSS
2025-09-02 18:07:00+09:00,2025-09-02 18:18:00+09:00,5,-1,42090.9,42120.9,-0.0007127431345017569,-30.0,0.0002969763060423987,STOP_LOSS
2025-09-02 18:33:00+09:00,2025-09-02 18:46:00+09:00,6,1,42115.9,42100.9,-0.00035616002507366575,-15.0,0.00041552002925261005,STOP_LOSS
2025-09-02 18:56:00+09:00,2025-09-02 19:03:00+09:00,7,-1,42090.9,42110.9,-0.00047516208966783794,-20.0,0.0,STOP_LOSS
2025-09-02 20:43:00+09:00,2025-09-02 21:36:00+09:00,8,-1,41935.9,41883.4,0.0012519106541173553,52.5,0.0025038213082347106,SL
2025-09-02 21:48:00+09:00,2025-09-02 21:51:00+09:00,9,-1,41848.4,41895.9,-0.0011350493686735931,-47.5,5.9739440456504906e-05,STOP_LOSS
2025-09-02 22:27:00+09:00,2025-09-02 22:30:00+09:00,10,1,41838.4,41773.4,-0.00155359669585835,-65.0,5.975371907147501e-05,STOP_LOSS
2025-09-02 22:34:00+09:00,2025-09-02 22:35:00+09:00,11,-1,41813.4,41843.4,-0.0007174733458652011,-30.0,0.0,STOP_LOSS
2025-09-02 22:40:00+09:00,2025-09-02 23:27:00+09:00,12,1,41870.9,41993.4,0.002925659586968515,122.5,0.004716879742255361,SL
2025-09-02 23:28:00+09:00,2025-09-02 23:30:00+09:00,13,1,42033.4,42040.9,0.00017842953460819254,7.5,0.0005947651153606417,SL
